diseaseLabel,disease,symptomsLabel,symptoms,symptomLabel_NCI,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
variegate porphyria,Q275385, , ,, , , , , , , , , , , ,E80.2,"C0162532,C2936913,C3149848",D046350,C85219,https://en.wikipedia.org/wiki/Variegate_porphyria,Human disease,"PORPHYRIA VARIEGATA,Porphyria variegate,Porphyria, South African Type,Ppox Deficiency,Protocoproporphyria,Protoporphyrinogen oxidase deficiency,VP,Variegate Porphyria, Homozygous Variant,Variegate porphyria,Variegate porphyria (disorder)"
dilated cardiomyopathy,Q283656, , ,,inamrinone,Q422724, , , , , , , , , ,I42.0,C0007193,D002311,C84673,https://en.wikipedia.org/wiki/Dilated_cardiomyopathy,disease characterized by an enlarged heart,"Congestive cardiomyopathy,DCM,Familial dilated cardiomyopathy,Idiopathic dilation cardiomyopathy,primary dilated cardiomyopathy"
alpha thalassemia,Q288714, , ,, , , , , , , , , , ,"282.43,282.49",D56.0,"C0002312,C1456873",D017085,C34368,https://en.wikipedia.org/wiki/Alpha-thalassemia,Alpha thalassemia is a thalassemia involving the genes HBA1and HBA2 hemoglobin genes,"Alpha thalassaemia,Hemoglobin H disease,alpha-Thalassemia,alpha-thalassaemia,thalassemia alpha"
activated protein C resistance,Q296104, , ,, , , , , , , , , , ,289.81,D68.51,"C0600433,C1861171",D020016, ,https://en.wikipedia.org/wiki/Activated_protein_C_resistance,hemostatic disorder,"APC resistance,Activated protein c resistance,Pccf Deficiency,Proc Cofactor Deficiency,Resistance, APC,THPH2,THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE,THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE, THPH2,Thrombophilia 5,Thrombophilia Due to Deficiency of Activated Protein C Cofactor,Thrombophilia Due to Factor 5 Leiden,thrombophilia due to activated protein C resistance"
Aarskog syndrome,Q303123, , ,, , , , , , , , , , ,759.89,Q87.1,C0175701,C535331,C129720,https://en.wikipedia.org/wiki/Aarskog%E2%80%93Scott_syndrome,"monogenic disease affects a person's height, muscles, skeleton, genitals, and appearance of the face","AARSKOG-SCOTT SYNDROME,AARSKOG-SCOTT SYNDROME, AAS,AAS,Aarskog,Aarskog Scott Syndrome,Aarskog Syndrome, X-Linked,Aarskog syndrome (disorder),Aarskog syndrome [dup] (disorder),Aarskog's syndrome,Aarskog-Scott syndrome,Aarskog-Scott syndrome, X-linked,FACIOGENITAL DYSPLASIA,FGD,Facial-digital-genital syndrome,Faciodigitogenital Syndrome,Faciodigitogenital syndrome,Faciogenital Dysplasia With Attention Deficit-Hyperactivity Disorder,Faciogenital dysplasia,Greig's syndrome,Mental Retardation, X-Linked, Syndromic 16,Shawl scrotum syndrome,X-linked Aarskog syndrome"
Schindler disease,Q310335, , ,, , , , , , , , , , ,277.89,E77.1,"C0342850,C1836544", , ,https://en.wikipedia.org/wiki/Schindler_disease,Rare congenital metabolic disorder in humans.,"Alpha-N-acetylgalactosaminidase deficiency,Kanzaki disease,NAGA deficiency,Schindler disease"
abetalipoproteinemia,Q319812, , ,, , , , , , , , , , , ,E78.6,C0000744,D000012,C84525,https://en.wikipedia.org/wiki/Abetalipoproteinemia,Human disease,"ABETALIPOPROTEINEMIA,ABETALIPOPROTEINEMIA, ABL,ABL,Acanthocytosis,Bassen-Kornzweig Syndrome,Bassen-Kornzweig disease,Homozygous familial hypobetalipoproteinemia,Microsomal Triglyceride Transfer Protein Deficiency,Mtp Deficiency,familial hypobetalipoproteinemia,microsomal triglyceride transfer protein deficiency disease"
aceruloplasminemia,Q337604, , ,, , , , , , , , , , ,277.6,G23.0,"C0878682,C1858583",C536004, ,https://en.wikipedia.org/wiki/Aceruloplasminemia,adult-onset disorder of neurodegeneration with brain iron accumulation,"ACERULOPLASMINEMIA,Ceruloplasmin Deficiency,Familial apoceruloplasmin deficiency,Hemosiderosis, Systemic, Due to Aceruloplasminemia,Hereditary ceruloplasmin deficiency,Hypoceruloplasminemia,Systemic hemosiderosis due to aceruloplasminemia"
carcinoid syndrome,Q339547, , ,,"everolimus,octreotide,telotristat ethyl","Q27270371,Q419935,Q421052", , , , , , , , ,259.2,E34.0,"C0024586,C0349535",D008303,C3215,https://en.wikipedia.org/wiki/Carcinoid_syndrome,Human disease,"CARCINOID TUMORS, INTESTINAL,Carcinoid syndrome,Carcinoid tumor syndrome,Excessive serotonin secretion,Hormonal tumour,Hormone secretion by carcinoid tumors,Malignant carcinoid syndrome,obsolete carcinoid syndrome"
achondroplasia,Q340594, , ,, , , , , , , , , , , ,Q77.4,C0001080,D000130,C34345,https://en.wikipedia.org/wiki/Achondroplasia,osteochondrodysplasia that results in dwarfism from abnormal ossification of cartilage in long bones,"Chondrodystrophia,achondroplastic dwarfism,achondroplastic physique,osteosclerosis congenita"
hidradenitis suppurativa,Q341999,"abscess,inflammation","Q101991,Q164655",, , , , , , , , , , , ,L73.2,C0162836,D017497,C128429,https://en.wikipedia.org/wiki/Hidradenitis_suppurativa,Human disease,"Acne inversa, familial,Hidradenitis suppurativa,Hidradenitis suppurativa (disorder)"
Adams-Oliver syndrome,Q351708, , ,, , , , , , , , , , ,759.89,Q87.2,C0265268,C538225, ,https://en.wikipedia.org/wiki/Adams%E2%80%93Oliver_syndrome,"syndrome characterized by defects of the scalp (aplasia cutis congenita), abnormalities of the fingers, toes, arms and legs","Adams Oliver syndrome,Aos,Congenital scalp defects with distal limb anomalies,Congenital scalp defects with distal limb reduction anomalies,Limb scalp and skull defects,Limb, scalp and skull defects"
adermatoglyphia,Q356410, , ,, , , , , , , , , , , ,Q82.8,"C1851080,C1852150",C565010, ,https://en.wikipedia.org/wiki/Adermatoglyphia,rare genetic disorder causing lack of fingerprints,"ADERM,ADERMATOGLYPHIA, ADERM,Congenital absence of fingerprints,Fingerprints, Absence of,Immigration delay disease"
double outlet right ventricle,Q361648, , ,, , , , , , , , , , ,745.11,Q20.1,C0013069,D004310,C98916,https://en.wikipedia.org/wiki/Double_outlet_right_ventricle,"Human disease, Congenital Heart Disease","DORV,Dextrotransposition of aorta,Dextrotransposition of aorta (disorder),Double outlet right ventricle,Double outlet right ventricle (disorder),Double outlet right ventricle NOS (disorder),Double outlet right ventricle with subpulmonary ventricular septal defect,Double outlet right ventricle, unspecified (disorder),Taussig-Bing syndrome or defect"
congenital adrenal hyperplasia,Q366868, , ,,methylprednisolone,Q417222, , , , , , , , ,255.2,"E25,E25.9",C0701163,D000312,C34360,https://en.wikipedia.org/wiki/Congenital_adrenal_hyperplasia,steroid inherited metabolic disorder that is characterized by adrenal insufficiency and variable degrees of hyper or hypo androgeny manifestations resulting from steroidogenic enzyme deficiency,"Adrenal Hyperplasia, Congenital,Adrenal gland hyperplasia,Adrenal hypertrophy or hyperplasia (disorder),Congenial adrenal cortex enzyme deficiency,Congenital Adrenal hyperplasia,Congenital adrenal enzyme deficiency,Congenital adrenal hyperplasia,Congenital adrenal hyperplasia (disorder),Congenital adrenal hyperplasia, NOS,adrenal hyperplasia,adrenal hyperplasia 1,obsolete congenital adrenal hyperplasia"
X-linked adrenoleukodystrophy,Q366964, , ,, , , , , , , , , , ,341.1,"E71.3,E71.52,E71.529,G37.0","C0007795,C0162309",D000326,"C61252,C84670",https://en.wikipedia.org/wiki/Adrenoleukodystrophy,"X-linked adrenoleukodystrophy (X-ALD) is a peroxisomal disorder resulting in cerebral demyelination, axonal dysfunction in the spinal cord leading to spastic paraplegia, adrenal insufficiency and in some cases testicular insufficiency","ALD,Adrenoleukodystrophy,Bronze Schilder disease,Encephalitis periaxialis concentrica,Encephalitis periaxialis, Schilder's,SUDANOPHILIC CEREBRAL SCLEROSIS,Schilder disease,Schilder's disease,Siemerling-Creutzfeldt Disease,X-ALD,X-linked ALD,adrenoleukodystrophy, X-linked,diffuse cerebral sclerosis of Schilder,diffuse sclerosis"
growth hormone deficiency,Q369262, , ,, , , , , , , , , , , , , ,D004393,C34555,https://en.wikipedia.org/wiki/Growth_hormone_deficiency,Human disease,"Dwarfism: [pituitary] or [hypophyseal (& Lorain-Levi)],Lorain - Levi dwarfism,hypopituitary dwarfism,obsolete pituitary dwarfism,pituitary dwarfism"
polydactyly,Q371520, , ,, , , , , , , , , , ,"755.0,755.00","Q69,Q69.0,Q69.1,Q69.2,Q69.9","C0152427,C0220697",D017689,C87110,https://en.wikipedia.org/wiki/Polydactyly,physical anomaly resulting in supernumerary fingers and/or toes,"isolated polydactyly,nonsyndromic polydactyly,nonsyndromic polydactyly (disease),postaxial polydactyly,supernumerary digit"
adult polyglucosan body disease,Q379038, , ,, , , , , , , , , , , ,E74.0,C1849722,C564878, ,https://en.wikipedia.org/wiki/Adult_polyglucosan_body_disease,"Adult polyglucosan body disease (APBD) is a glycogen storage disease of adults characterized by progressive upper and lower motor neuron dysfunction, progressive neurogenic bladder and cognitive difficulties that can lead to dementia","APBD,APBN,Adult polyglucosan body disease,POLYGLUCOSAN BODY NEUROPATHY, ADULT FORM,POLYGLUCOSAN BODY NEUROPATHY, ADULT FORM, APBN,Polyglucosan Body Disease, Adult Form,Polyglucosan body disease, adult"
trisomy 9,Q381719, , ,, , , , , , , , , , , , , , ,C84282,https://en.wikipedia.org/wiki/Trisomy_9,partial or complete triplication of chromosome 9,trisomy of chromosome 9
Gerstmann-Straussler-Scheinker syndrome,Q383228,"ataxia,dementia","Q213373,Q83030",, , , , , , , , ,"biopsy,histopathology,magnetic-resonance imaging,medical history","Q1070952,Q161238,Q179991,Q188952",046.71,"A81.8,A81.82","C0017495,C3805618",D016098,C84727,https://en.wikipedia.org/wiki/Gerstmann%E2%80%93Str%C3%A4ussler%E2%80%93Scheinker_syndrome,"prion disease characterized by adult onset of memory loss, dementia, ataxia, and pathologic deposition of amyloid-like plaques in the brain","Amyloidosis, Cerebral, With Spongiform Encephalopathy,Cerebellar Ataxia, Progressive Dementia, and Amyloid Deposits 1N Cns,Cerebral Amyloid Angiopathy, Prnp-Related,Encephalopathy, Subacute Spongiform, Gerstmann-Straussler Type,GERSTMANN-STRAUSSLER DISEASE,GERSTMANN-STRAUSSLER DISEASE, GSD,GSD,Gerstmann-Straussler-Scheinker disease,Gerstmann-Sträussler-Scheinker syndrome,PRION DEMENTIA,Subacute spongiform encephalopathy, Gerstmann-Straussler type"
ataxia telangiectasia,Q387082,thymic hypoplasia,Q7799616,Hereditary Lesion, , , , , , , , , , ,334.8,G11.3,"C0004135,C0919524,C1859616,C1876175",D001260,C2887,https://en.wikipedia.org/wiki/Ataxia%E2%80%93telangiectasia,"a rare, neurodegenerative, autosomal recessive human disease causing severe disability","AT,ATAXIA-TELANGIECTASIA,ATAXIA-TELANGIECTASIA, AT,At, Complementation Group C,At, Complementation Group D,At, Complementation Group E,At, Complementation Group a,At1,Ataxia Telangiectasia,Ataxia-Telangiectasia Variant,Boder-Sedgwick syndrome,Cerebello-oculocutaneous telangiectasia,Immunodeficiency with ataxia telangiectasia,Louis Bar syndrome,Louis-Bar Syndrome,Louis–Bar syndrome,ataxia telangiectasia syndrome"
atrioventricular septal defect,Q390211, , ,, , , , , , , , , , ,"745.6,745.60",Q21.2,C0014116,D004694,C101029,https://en.wikipedia.org/wiki/Atrioventricular_septal_defect,Human disease,"AVCD,AVSD,ECD,Endocardial cushion defect, ECD,atrioventricular canal defect,endocardial cushion defect"
hepatoerythropoietic porphyria,Q390791, , ,Cutaneous Involvement, , , , , , , , , , , , ,C0162569,D017121,C84754,https://en.wikipedia.org/wiki/Hepatoerythropoietic_porphyria,Human disease, 
Lucey–Driscoll syndrome,Q390908, , ,, , , , , , , , , , , ,P59.8,"C0270210,C0270215",C562692,C98846,https://en.wikipedia.org/wiki/Lucey%E2%80%93Driscoll_syndrome,autosomal recessive metabolic disorder affecting enzymes involved in bilirubin metabolism,"Breast Milk Jaundice,HBLRTFN,HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATAL,HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATAL, HBLRTFN,Hyperbilirubinemia transient familial neonatal,Lucey-Driscoll Syndrome"
maple syrup urine disease,Q402575,vomiting,Q127076,, , , , , , , , , , , ,E71.0,C0024776,D008375,C34806,https://en.wikipedia.org/wiki/Maple_syrup_urine_disease,Human disease,"Ketoacidaemia,MSUD, Maple syrup urine disease,Maple Syrup Urine Disease, MSUD,branched chain ketoaciduria,dihydrolipoamide dehydrogenase deficiency"
Aicardi-Goutieres syndrome,Q403453, , ,, , ,Aicardi syndrome,Q403463, , , , , , , ,G31.8,"C0796126,C3150315",C535607, ,https://en.wikipedia.org/wiki/Aicardi%E2%80%93Gouti%C3%A8res_syndrome,a rare genetic neurodevelopmental disorder,"AGS1,AICARDI-GOUTIERES SYNDROME 1,AICARDI-GOUTIERES SYNDROME 1, AGS1,Ags,Aicardi-Goutieres Syndrome 1, Autosomal Dominant,Aicardi-Goutieres Syndrome type 1,Aicardi–Goutières syndrome,Cree encephalitis,Encephalopathy, Familial Infantile, With Intracranial Calcification and Chronic Cerebrospinal Fluid Lymphocytosis,Pseudotoxoplasmosis Syndrome"
Porphyria due to ALAD deficiency,Q419897, , ,, , , , , , , , , , , , ,C0162533, ,C133887,https://en.wikipedia.org/wiki/Aminolevulinic_acid_dehydratase_deficiency_porphyria,"porphyria that has symptom abdominal pain, has symptom neuropathy, has symptom autonomic instability and has symptom psychosis","ALAD porphyria,acute porphyria"
acute intermittent porphyria,Q424247, , ,,chlorpromazine,Q407972, , , , , , , , , , ,C0162565,D017118,C84536,https://en.wikipedia.org/wiki/Acute_intermittent_porphyria,human disease,"AIP,AIP - acute intermittent porphyria,porphyria intermittent acute,pyrroloporphyria"
acute interstitial pneumonitis,Q424258, , ,, , , , , , , , , , ,516.33,J84.114,C1279945, ,C35806,https://en.wikipedia.org/wiki/Acute_interstitial_pneumonitis,human disease,"AIP,Hamman-Rich disease,Hamman-Rich syndrome,Idiopathic pulmonary fibrosis, acute fatal form,accelerated interstitial pneumonia,acute interstitial pneumonia,acute interstitial pneumonitis,acute interstitial pneumonitis, NOS"
microcephaly,Q431643, , ,, , ,sperm microcephaly,Q60589325, , ,Zika virus infection,Q27043680, , ,742.1,Q02,"C0025958,C0424688",D008831,C85874,https://en.wikipedia.org/wiki/Microcephaly,medical condition in which the brain does not develop properly resulting in a smaller than normal head,"Microcephalus,microencephaly"
achromatopsia,Q432396,"amblyopia,nystagmus,photophobia","Q207855,Q220989,Q281289",, , , , , , , , , , ,368.54,"H53.5,H53.51",C0152200, ,C84528,https://en.wikipedia.org/wiki/Achromatopsia,"human illness, a type of color blindness","ACHM,Complete or incomplete color blindness,Pingelapese blindness,Rod monochromacy,Rod monochromatism,complete achromatopsia,complete color blindness,monochromacy,monochromatism,rod monochromacy,rod monochromatism,total color blindness,typical achromatopsia"
Alström syndrome,Q432814,blindness,Q10874,, , , , , , , , , , , , ,C0268425,D056769,C84549,https://en.wikipedia.org/wiki/Alstr%C3%B6m_syndrome,rare genetic disorder caused by mutations in the gene ALMS1,"Alstrom syndrome,Alstrom–Halgren syndrome"
Blau syndrome,Q441077, , ,, , , , , , , , , , ,"692.9,714.89", ,C1861303, ,C116794,https://en.wikipedia.org/wiki/Blau_syndrome,"An autosomal dominant disease characterized by familial granulomatous arthritis, uveitis and skin granulomas. It has material basis in mutations in the NOD2/CARD15 genes.","ACUG,ARTHROCUTANEOUVEAL GRANULOMATOSIS,BLAU SYNDROME,BLAU SYNDROME, BLAUS,BLAUS,Granulomatosis, Familial Juvenile Systemic,Granulomatosis, Familial, Blau Type,Granulomatous Inflammatory Arthritis, Dermatitis, and Uveitis, Familial,Granulomatous arthritis of childhood,Jabs syndrome,Pediatric Granulomatous Arthritis,Synovitis granulomatous with uveitis and cranial neuropathies,Synovitis, Granulomatous, With Uveitis and Cranial Neuropathies"
slipped capital femoral epiphysis,Q442615, , ,, , , , , , , , , , , ,M93.9,C0149887,D060048,C118384,https://en.wikipedia.org/wiki/Slipped_capital_femoral_epiphysis,rare disease,"Epiphysiolysis Capitis Femoris,Epiphysiolysis of the upper femur,Femoral head epiphysiolysis,SCFE,SLIPPED FEMORAL CAPITAL EPIPHYSES,SUFE,Slipped capital femoral epiphysis,Slipped upper femoral epiphysis,epiphysiolysis of the hip"
pulmonary alveolar proteinosis,Q448698, , ,, , , , , , , , , , ,516.0,J84.01,C0034050,D011649,C85037,https://en.wikipedia.org/wiki/Pulmonary_alveolar_proteinosis,"lung disease that is characterized by abnormal accumulation of surfactant occurs within the alveoli, interfering with gas exchange","Hereditary pulmonary alveolar proteinosis,PAP,Pulmonary Alveolar Proteinosis"
triosephosphate isomerase deficiency,Q458099, , ,Hereditary Lesion, , , , , , , , , , ,282.3,D55.2,"C0398562,C1860808",C566029,C131652,https://en.wikipedia.org/wiki/Triosephosphate_isomerase_deficiency,Genetic metabolic disorder,"TPI deficiency,TPID,TRIOSEPHOSPHATE ISOMERASE DEFICIENCY,TRIOSEPHOSPHATE ISOMERASE DEFICIENCY, TPID,Triose phosphate-isomerase deficiency"
amelogenesis imperfecta,Q461854, , ,, , , , , , , , , , , ,K00.5,C0002452,D000567, ,https://en.wikipedia.org/wiki/Amelogenesis_imperfecta,dental enamel hypoplasia characterized by abnormal enamel formation, 
complete androgen insensitivity syndrome,Q473262, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Complete_androgen_insensitivity_syndrome,intersex condition that results in a phenotypic female,"CAIS,complete androgen resistance syndrome"
Bannayan-Riley-Ruvalcaba syndrome,Q474254, , ,"Hereditary Lesion,Seizure", , , , , , , , , , ,759.6,"Q87.8,Q87.89",C0265326, ,C3939,https://en.wikipedia.org/wiki/Bannayan%E2%80%93Riley%E2%80%93Ruvalcaba_syndrome,"a rare overgrowth syndrome and hamartomatous disorder with occurrence of multiple subcutaneous lipomas, macrocephaly and hemangiomas.","BANNAYAN-RILEY-RUVALCABA SYNDROME, BRRS,BRRS,BZS,Bannayan syndrome,Bannayan-Riley-Ruvalcaba Syndrome,Bannayan-Zonana syndrome,Macrocephaly multiple lipomas and hemangiomata,Macrocephaly pseudopapilledema and multiple hemangiomas,Macrocephaly with Multiple Lipomas and Hemangiomas,Macrocephaly, Multiple Lipomas, and Hemangiomata,Macrocephaly, Pseudopapilledema, and Multiple Hemangiomata,Myhre-Riley-Smith syndrome,RMSS,RUVALCABA-MYHRE-SMITH SYNDROME,Riley-Smith syndrome,Ruvalcaba -Myhre-Smith syndrome,Ruvalcaba-Myhre syndrome"
porencephaly,Q492129, , ,, , , , , , , , , , , ,Q04.6,"C0302892,C1867983,C3698507,C4082173",D065708, ,https://en.wikipedia.org/wiki/Porencephaly,congenital disorder of nervous system characterized by cysts or cavities within the cerebral hemisphere., 
paramyotonia congenita,Q493103, , ,, , , , , , , , , , ,359.29,G71.1,"C0221055,C1868617,C1868619",C538616,C122790,https://en.wikipedia.org/wiki/Paramyotonia_congenita,human disease,"Eulenburg disease,PARAMYOTONIA CONGENITA OF VON EULENBURG, PMC,PC,PMC,Paralysis Periodica Paramyotonica,Paramyotonia Congenita Without Cold Paralysis,Paramyotonia congenita,paramyotonia congenita of von Eulenburg"
